Task arrival date_act1,Task arrival date_act2,Task arrival date_act3,Actvity ID_act1,Actvity ID_act2,Actvity ID_act3,Task Executer_act1,Task Executer_act2,Task Executer_act3,Task executer department_act1,Task executer department_act2,Task executer department_act3,Task Type_act1,Task Type_act2,Task Type_act3,Action_act1,Action_act2,Action_act3,idBPMApplicationAction_act1,idBPMApplicationAction_act2,idBPMApplicationAction_act3,Period between arrival and execution_act1,Period between arrival and execution_act2,Period between arrival and execution_act3,Period between arrival and capture_act1,Period between arrival and capture_act2,Period between arrival and capture_act3,Cumulative Length of Process_act1,Cumulative Length of Process_act2,Cumulative Length of Process_act3,Overdue Days_act1,Overdue Days_act2,Overdue Days_act3,Role ID_act1,Role ID_act2,Role ID_act3,Years in Org Position_act1,Years in Org Position_act2,Years in Org Position_act3,Age_act1,Age_act2,Age_act3,idBPMRequirement_act1,idBPMRequirement_act2,idBPMRequirement_act3,Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act4,Task arrival date_last_act4
2022-05-06 16:04:19.243,2022-05-06 16:04:19.963,2022-05-18 10:47:00.053,100,102,101,461,4322,461,461,4322,461,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,282,6,0,259,0,1,2,3,0,8,0,6,21,6,4,0,4,46,57,46,Non applicable,183,Non applicable,2,3,2,1,1,7,1,1,1,1,1,1,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,102,2022-05-18 16:50:59.647
2022-05-06 16:11:41.983,2022-05-06 16:11:43.090,2022-05-21 12:37:06.670,100,102,101,2059,4322,2059,2059,4322,2059,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,356,44,0,356,43,1,2,3,0,11,0,1,21,1,1,0,1,24,57,24,Non applicable,183,Non applicable,1,3,2,1,1,10,1,1,1,1,1,1,1,0,1,1,1,3,0,0,0,2,0,0,0,0,0,2,0,102,2022-05-23 09:09:38.680
2022-05-09 08:58:15.213,2022-05-09 08:58:15.743,2022-05-15 13:31:56.283,100,102,103,869,4731,10606,869,4731,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,148,0,0,148,0,1,2,3,0,5,0,5,21,11,1,1,1,45,52,49,Non applicable,Non applicable,Non applicable,3,3,2,1,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,102,2022-05-15 13:36:47.213
2022-05-09 12:52:02.697,2022-05-09 12:52:09.413,2022-05-14 18:39:13.243,100,102,103,2059,4322,10606,2059,4322,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,125,0,0,125,0,1,2,3,0,4,0,1,21,11,1,0,1,24,57,49,Non applicable,Non applicable,Non applicable,1,3,2,1,0,10,1,1,1,1,1,1,1,0,1,1,1,4,0,0,0,1,0,0,0,0,0,2,0,102,2022-05-14 18:51:51.837
2022-05-09 17:41:17.957,2022-05-09 17:41:18.923,2022-05-15 13:03:49.010,100,102,103,950,4731,10606,950,4731,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,139,0,0,139,0,1,2,3,0,4,0,1,21,11,1,1,1,44,52,49,Non applicable,Non applicable,Non applicable,2,2,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,102,2022-05-15 13:07:26.043
2022-05-09 18:28:24.587,2022-05-09 18:28:25.070,2022-05-10 11:05:38.567,100,105,106,176,10027,4322,176,10027,4322,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,273,0,16,1311,0,15,104,1,2,3,0,0,54,4,59,21,7,5,0,54,48,57,Non applicable,Non applicable,Non applicable,3,1,2,1,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,105,2022-07-04 02:32:43.617
2022-05-10 12:05:49.280,2022-05-10 12:05:50.013,2022-05-15 15:06:06.747,100,102,103,935,4960,10606,935,4960,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,123,0,0,122,0,1,2,3,0,4,0,5,21,11,2,0,1,45,46,49,Non applicable,Non applicable,Non applicable,2,2,2,1,0,7,1,1,1,1,1,1,1,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,102,2022-05-15 15:14:27.083
2022-05-10 12:11:07.727,2022-05-10 12:11:08.443,2022-05-15 16:30:39.590,100,102,101,10434,4960,10434,10434,4960,10434,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,124,42,0,123,17,1,2,3,0,4,0,4,21,4,2,0,2,53,46,53,Non applicable,183,Non applicable,2,1,2,1,1,7,1,1,1,1,1,1,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,102,2022-05-17 11:04:21.850
2022-05-10 17:10:15.463,2022-05-10 17:10:18.247,2022-05-15 15:09:55.110,100,102,103,950,4731,10606,950,4731,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,117,0,0,117,0,1,2,3,0,3,0,1,21,11,1,1,1,44,52,49,Non applicable,Non applicable,Non applicable,2,2,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,102,2022-05-15 15:16:28.530
2022-05-10 18:05:26.700,2022-05-10 18:05:27.153,2022-05-16 17:19:07.713,100,102,103,11011,Robot,73,11011,Non identifiable,73,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,143,0,0,142,0,1,2,3,0,5,0,6,0,8,5,0,2,51,0,53,Non applicable,Non applicable,Non applicable,2,1,2,1,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,102,2022-05-16 17:51:52.480
