Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act1,Task arrival date_last_act1
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-03 18:04:29.953
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,100,2022-05-03 18:50:16.673
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 09:26:07.213
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,100,2022-05-04 09:30:39.220
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-04 09:44:01.847
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,100,2022-05-04 09:50:53.190
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,100,2022-05-04 09:54:34.380
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-04 09:56:15.403
1,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,100,2022-05-04 10:07:34.800
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,100,2022-05-04 10:18:53.997
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-04 10:55:10.750
1,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-04 10:58:16.077
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 11:02:09.250
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,100,2022-05-04 11:15:05.360
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,100,2022-05-04 11:49:31.370
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,100,2022-05-04 11:56:46.293
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-04 12:24:56.477
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 12:38:46.230
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 13:06:04.313
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,100,2022-05-04 13:13:49.243
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 13:21:52.720
0,0,0,0,0,4,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 13:31:47.767
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 13:45:42.973
1,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,100,2022-05-04 13:54:08.903
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,100,2022-05-04 14:13:22.403
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 14:44:33.020
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-04 14:57:56.570
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-04 15:01:59.667
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-04 15:16:41.190
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,100,2022-05-04 15:24:08.227
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,100,2022-05-04 15:29:48.330
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,100,2022-05-04 15:39:10.893
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,100,2022-05-04 15:41:40.797
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-04 15:46:21.897
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-04 15:58:22.673
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,100,2022-05-04 16:16:31.743
